Date,Open,High,Low,Close,Adj Close,Volume
2012-05-07,62.580002,63.320000,62.369999,63.310001,63.310001,12000
2012-05-08,62.869999,64.480003,62.400002,63.939999,63.939999,31200
2012-05-09,63.450001,63.799999,62.450001,62.500000,62.500000,27000
2012-05-10,63.139999,63.139999,62.340000,62.660000,62.660000,27000
2012-05-11,62.360001,63.389999,62.099998,62.250000,62.250000,9500
2012-05-14,62.119999,62.599998,61.610001,61.810001,61.810001,17500
2012-05-15,62.160000,62.740002,61.849998,61.860001,61.860001,14000
2012-05-16,62.380001,62.869999,62.080002,62.349998,62.349998,30700
2012-05-17,62.560001,62.709999,62.000000,62.000000,62.000000,13200
2012-05-18,61.750000,61.779999,60.139999,60.470001,60.470001,29500
2012-05-21,60.139999,60.959999,60.099998,60.959999,60.959999,14000
2012-05-22,60.869999,61.389999,60.290001,60.660000,60.660000,12000
2012-05-23,60.910000,60.950001,60.250000,60.799999,60.799999,18000
2012-05-24,61.430000,61.430000,60.259998,60.970001,60.970001,10000
2012-05-25,61.020000,61.259998,60.520000,60.750000,60.750000,11000
2012-05-29,61.320000,61.790001,60.540001,61.310001,61.310001,13000
2012-05-30,60.959999,61.400002,60.709999,61.049999,61.049999,9400
2012-05-31,61.340000,61.700001,60.410000,61.270000,61.270000,20300
2012-06-01,60.500000,61.040001,60.049999,60.490002,60.490002,14000
2012-06-04,60.500000,61.490002,60.500000,61.250000,61.250000,11100
2012-06-05,61.279999,61.990002,60.770000,61.070000,61.070000,10000
2012-06-06,61.380001,62.330002,60.970001,62.330002,62.330002,23700
2012-06-07,62.590000,62.590000,61.290001,61.630001,61.630001,11000
2012-06-08,61.200001,62.279999,61.000000,61.770000,61.770000,20400
2012-06-11,62.150002,62.470001,61.020000,61.029999,61.029999,12900
2012-06-12,61.049999,61.560001,61.000000,61.480000,61.480000,11400
2012-06-13,61.389999,61.480000,60.580002,60.740002,60.740002,6500
2012-06-14,60.740002,61.980000,60.630001,61.970001,61.970001,14200
2012-06-15,61.799999,62.500000,61.570000,62.139999,62.139999,21000
2012-06-18,62.119999,62.150002,61.080002,61.630001,61.630001,12300
2012-06-19,61.439999,63.290001,61.360001,63.220001,63.220001,13400
2012-06-20,63.500000,63.919998,62.810001,63.669998,63.669998,19900
2012-06-21,63.630001,63.630001,62.119999,62.430000,62.430000,16600
2012-06-22,62.599998,63.459999,62.150002,63.389999,63.389999,39200
2012-06-25,63.169998,63.930000,62.849998,63.669998,63.669998,8300
2012-06-26,63.970001,64.000000,63.049999,63.599998,63.599998,4600
2012-06-27,63.630001,63.770000,63.369999,63.770000,63.770000,17200
2012-06-28,63.400002,64.000000,63.040001,63.980000,63.980000,9800
2012-06-29,64.489998,64.830002,63.529999,64.279999,64.279999,19600
2012-07-02,64.510002,65.000000,63.380001,64.989998,64.989998,11400
2012-07-03,65.000000,65.040001,64.699997,65.040001,65.040001,4600
2012-07-05,65.040001,65.110001,64.330002,64.989998,64.989998,6300
2012-07-06,64.500000,64.989998,64.389999,64.760002,64.760002,14800
2012-07-09,64.940002,65.419998,64.510002,65.059998,65.059998,12000
2012-07-10,65.089996,65.470001,64.199997,64.269997,64.269997,13400
2012-07-11,64.500000,66.760002,64.279999,66.059998,66.059998,17200
2012-07-12,65.279999,66.489998,65.010002,65.809998,65.809998,8100
2012-07-13,65.849998,66.900002,65.360001,66.470001,66.470001,15700
2012-07-16,66.529999,66.599998,65.540001,65.750000,65.750000,10400
2012-07-17,66.169998,66.919998,65.449997,66.680000,66.680000,10200
2012-07-18,67.550003,67.580002,66.550003,66.919998,66.919998,32400
2012-07-19,67.400002,67.660004,66.599998,66.989998,66.989998,11800
2012-07-20,66.970001,67.580002,65.449997,65.839996,65.839996,8800
2012-07-23,66.080002,67.190002,65.510002,66.680000,66.680000,10600
2012-07-24,67.139999,67.440002,65.419998,65.709999,65.709999,10200
2012-07-25,66.120003,66.889999,65.680000,66.059998,66.059998,8600
2012-07-26,66.550003,66.809998,65.190002,66.000000,66.000000,9200
2012-07-27,66.129997,67.089996,66.129997,67.040001,67.040001,9000
2012-07-30,67.190002,67.639999,65.489998,67.150002,67.150002,10900
2012-07-31,66.980003,67.930000,66.980003,67.169998,67.169998,9700
2012-08-01,67.919998,67.919998,65.980003,65.980003,65.980003,19000
2012-08-02,65.879997,66.269997,65.019997,65.309998,65.309998,8300
2012-08-03,66.190002,67.750000,65.559998,67.550003,67.550003,10400
2012-08-06,68.199997,68.360001,67.599998,67.860001,67.860001,11400
2012-08-07,68.250000,68.750000,67.580002,68.529999,68.529999,29900
2012-08-08,67.860001,68.320000,66.750000,67.160004,67.160004,11300
2012-08-09,67.019997,67.019997,66.209999,66.489998,66.489998,10500
2012-08-10,66.000000,67.169998,66.000000,66.279999,66.279999,5900
2012-08-13,66.489998,66.489998,65.000000,65.930000,65.930000,11800
2012-08-14,65.930000,66.400002,65.000000,66.019997,66.019997,6700
2012-08-15,66.129997,66.190002,65.089996,66.070000,66.070000,4200
2012-08-16,66.000000,66.790001,65.650002,66.760002,66.760002,24000
2012-08-17,66.559998,67.489998,66.559998,67.440002,67.440002,8600
2012-08-20,67.559998,67.680000,66.900002,67.599998,67.599998,10100
2012-08-21,67.559998,67.750000,66.050003,66.059998,66.059998,13100
2012-08-22,66.279999,66.599998,66.019997,66.260002,66.260002,9500
2012-08-23,66.010002,66.489998,65.650002,66.260002,66.260002,8200
2012-08-24,66.349998,66.889999,66.059998,66.879997,66.879997,4800
2012-08-27,66.860001,67.849998,66.080002,67.849998,67.849998,8700
2012-08-28,67.910004,68.410004,67.000000,68.410004,68.410004,12500
2012-08-29,68.300003,68.989998,68.010002,68.330002,68.330002,12300
2012-08-30,68.629997,68.849998,67.540001,67.889999,67.889999,6000
2012-08-31,68.279999,69.000000,68.180000,68.639999,68.639999,16900
2012-09-04,68.309998,68.580002,67.980003,68.099998,68.099998,13000
2012-09-05,68.370003,68.970001,68.349998,68.739998,68.739998,13700
2012-09-06,69.000000,69.150002,68.099998,68.730003,68.730003,19500
2012-09-07,68.849998,68.959999,68.269997,68.540001,68.540001,11400
2012-09-10,68.470001,68.949997,68.000000,68.120003,68.120003,14200
2012-09-11,68.120003,68.750000,67.919998,68.099998,68.099998,7200
2012-09-12,68.480003,68.480003,67.000000,67.330002,67.330002,9900
2012-09-13,67.209999,69.000000,67.209999,68.160004,68.160004,12100
2012-09-14,68.480003,68.620003,68.089996,68.320000,68.320000,13600
2012-09-17,68.779999,68.910004,67.540001,67.959999,67.959999,10000
2012-09-18,67.739998,67.750000,67.250000,67.410004,67.410004,12400
2012-09-19,66.610001,67.349998,66.019997,66.800003,66.800003,28000
2012-09-20,66.489998,67.180000,66.180000,66.669998,66.669998,15000
2012-09-21,67.430000,67.699997,66.970001,67.000000,67.000000,20300
2012-09-24,67.050003,67.519997,66.680000,66.769997,66.769997,20000
2012-09-25,67.330002,67.800003,66.129997,66.269997,66.269997,17300
2012-09-26,66.699997,68.099998,66.699997,67.800003,67.800003,10200
2012-09-27,67.620003,68.769997,67.089996,68.580002,68.580002,13600
2012-09-28,68.139999,68.570000,67.239998,68.099998,68.099998,14400
2012-10-01,68.360001,69.169998,68.099998,69.010002,69.010002,14600
2012-10-02,69.000000,69.190002,68.820000,69.000000,69.000000,11100
2012-10-03,69.199997,69.199997,68.070000,68.650002,68.650002,9900
2012-10-04,68.639999,69.080002,68.410004,69.080002,69.080002,8600
2012-10-05,69.290001,69.970001,69.080002,69.449997,69.449997,21600
2012-10-08,69.080002,69.940002,69.019997,69.449997,69.449997,5400
2012-10-09,69.440002,69.440002,68.000000,68.070000,68.070000,12400
2012-10-10,68.349998,68.860001,68.139999,68.660004,68.660004,7600
2012-10-11,68.830002,69.830002,68.650002,69.269997,69.269997,15300
2012-10-12,69.540001,69.720001,68.839996,69.010002,69.010002,4100
2012-10-15,69.269997,69.940002,69.150002,69.940002,69.940002,7300
2012-10-16,70.000000,70.239998,69.650002,70.000000,70.000000,7000
2012-10-17,70.300003,70.900002,69.760002,69.940002,69.940002,14300
2012-10-18,69.750000,70.930000,68.449997,70.269997,70.269997,16000
2012-10-19,69.820000,70.769997,68.000000,68.559998,68.559998,15500
2012-10-22,68.489998,69.959999,68.489998,68.720001,68.720001,13200
2012-10-23,68.440002,68.440002,67.510002,68.010002,68.010002,9300
